Country Code,Pollutant,Min,Max,Median,Mittelwert,Standardabweichung
-99,NO,0.83549,0.83549,0.83549,0.83549,
-99,NO2,12.35798,12.35798,12.35798,12.35798,
-99,NOX,13.62056,13.62056,13.62056,13.62056,
-99,O3,99.55051,99.55051,99.55051,99.55051,
-99,PM10,22.8,22.8,22.8,22.8,
-99,PM2.5,11.21,11.21,11.21,11.21,
-99,SO2,6.84391,6.84391,6.84391,6.84391,
AD,CO,500.0,500.0,500.0,500.0,
AD,NO,16.9,16.9,16.9,16.9,
AD,NO2,36.5,36.5,36.5,36.5,
AD,O3,38.0,66.5,52.25,52.25,20.152543263816604
AD,PM10,9.3,9.3,9.3,9.3,
AD,PM2.5,3.7,3.7,3.7,3.7,
AD,SO2,1.0,1.0,1.0,1.0,
AE,CO,300.0,600.0,360.0,400.0,116.40446726822815
AE,NO2,3.21,71.95,15.52,22.533529411764704,19.50067945648833
AE,O3,101.3,207.47,137.14,143.505,29.160916714609012
AE,PM10,36.0,193.0,99.0,92.0,36.53765181289022
AE,PM2.5,90.2,90.2,90.2,90.2,
AE,SO2,1.05,50.16,13.61,16.81705882352941,15.21589907165605
AF,PM2.5,-999.0,136.0,-431.5,-431.5,802.5661966467314
AG,PM2.5,10.0,10.0,10.0,10.0,
AJ,PM2.5,11.0,27.0,19.0,18.857142857142858,5.520524474738834
AM,PM2.5,10.4,10.4,10.4,10.4,
AQ,CO,2.105187,2.105187,2.105187,2.105187,
AQ,NO2,0.05104458,0.05104458,0.05104458,0.05104458,
AQ,O3,0.005127221,43.2,21.602563610500003,21.602563610500003,30.543387454521113
AQ,PM10,115.5573,115.5573,115.5573,115.5573,
AQ,PM2.5,47.58657,47.58657,47.58657,47.58657,
AQ,SO2,0.005254504,0.005254504,0.005254504,0.005254504,
AR,CO,0.23,4000.0,0.46,858.198,1760.7939486549813
AR,NO,19.0,34.0,26.5,26.5,10.606601717798213
AR,NO2,0.007,39.0,0.016,11.0074,17.11129909738007
AR,NOX,36.0,73.0,54.5,54.5,26.16295090390226
AR,O3,1.0,27.0,14.0,14.0,18.384776310850235
AR,PM1,2.5858631134033203,3.076488077640533,2.831175595521927,2.831175595521927,0.3469242392315406
AR,PM10,0.0,17.0,8.0,7.740773819741749,5.605406999646422
AR,PM2.5,2.0,17.512499888737995,3.6632440189520517,7.174665176620086,6.118908228192732
AR,RELATIVEHUMIDITY,38.84017848968506,38.84017848968506,38.84017848968506,38.84017848968506,
AR,SO2,0.23,1.0,0.615,0.615,0.5444722215136416
AR,TEMPERATURE,15.74583347638448,24.114285786946613,19.05833339691162,19.494196514288582,3.6516939185414214
AR,UM003,681.5208384195963,681.5208384195963,681.5208384195963,681.5208384195963,
AT,CO,-1000.0,1613.00003,309.22999500000003,391.8998173333333,402.7336669339687
AT,NO,0.12970359,32.4679985,2.49429988,4.805637580330578,6.566485466220419
AT,NO2,-1.0,108.0,21.44388185,24.566676753506492,18.875864315768375
AT,O3,-1.0,134.48,32.644,35.17176444444444,28.474290476745637
AT,PM1,0.2916666666666667,21.37499984105428,8.624255935351055,8.72519838809967,7.297556828330532
AT,PM10,-1.0,64.0,14.0,16.932973001327092,12.33712019734207
AT,PM2.5,-1.0,36.15,10.3199987,11.196206576638804,7.325273884035486
AT,RELATIVEHUMIDITY,43.79267915089925,49.29247029622396,48.77500025431315,47.28671656714545,3.036966728606875
AT,SO2,-1.0,13.20600795,1.8884925,1.9662138119178083,1.9631414764863249
AT,TEMPERATURE,4.061741054058075,26.99583339691162,5.019345243771871,12.025639898247187,12.97340631779605
AT,UM003,381.625,1914.028279622396,1396.2261962890625,1230.626491970486,779.5077930349181
AU,CO,-9999.0,1.2,0.1,-243.73731707317071,1561.6039902533298
AU,NO2,-9999.0,0.03,0.002,-243.87401219512196,1551.9127593796454
AU,O3,-9999.0,0.041,0.018,-414.75637893333334,1973.7213102750013
AU,PM1,0.0208333333333333,8.646726290384928,1.5901249945163727,2.0410392307986815,2.562192828128347
AU,PM10,-9999.0,121.63,10.9,-163.4243071864824,1239.7242773084547
AU,PM2.5,-9999.0,33.1,3.36,-144.8643635251076,1157.833152325875
AU,RELATIVEHUMIDITY,31.235922654469807,79.2777779897054,52.472442626953125,54.26078873872757,18.2056419167765
AU,SO2,-9999.0,1.404,0.0,-596.9052238805971,2386.9854989680434
AU,TEMPERATURE,19.609166463216145,29.08218717575073,23.74940474828084,24.08430002353809,2.663609405614969
AU,UM003,144.12499936421713,748.9028065999349,579.1875,504.8327141716367,198.06873581621386
AZ,PM2.5,18.0,18.0,18.0,18.0,
BA,CO,0.0,2267.66,495.45,705.2314814814815,609.7468914085058
BA,NO2,-1.0,57.0,21.32475,21.810752631578946,12.09296639225389
BA,O3,-1.0,110.074127,20.3,32.77270908333333,31.99302193790852
BA,PM10,-1.0,101.0,51.497,53.594981818181815,31.570517212666697
BA,PM2.5,-1.0,106.0,43.082,39.61588235294118,33.58047792781238
BA,SO2,1.0,253.7,20.2,35.34888746511628,43.69382867075862
BD,O3,0.024,0.024,0.024,0.024,
BD,PM2.5,45.5,116.0,80.75,80.75,49.8510280736516
BE,CO,0.21,1045.0,290.0,310.0091304347826,207.4597268894078
BE,NO2,2.5,71.5,31.0,32.297413793103445,15.625644814281074
BE,O3,1.5,71.5,22.5,24.020408163265305,15.373800489683696
BE,PM1,47.76636854807536,47.76636854807536,47.76636854807536,47.76636854807536,
BE,PM10,4.0,90.38988049825032,20.9,22.49574979253458,10.804330917562314
BE,PM2.5,2.653,74.9851188659668,14.57,15.223255404853822,8.152266440230113
BE,RELATIVEHUMIDITY,59.50245507558187,59.50245507558187,59.50245507558187,59.50245507558187,
BE,SO2,0.0,31.5,1.0,2.6593750000000003,5.256765208008406
BE,TEMPERATURE,3.0899107456207275,3.0899107456207275,3.0899107456207275,3.0899107456207275,
BE,UM003,8350.715657552084,8350.715657552084,8350.715657552084,8350.715657552084,
BF,PM2.5,65.2,65.2,65.2,65.2,
BG,CO,-1000.0,2700.0,750.0,776.2147894736842,739.1606964811568
BG,NO,1.2,33.62,4.21,6.400476190476191,7.08359758610727
BG,NO2,0.9,75.02,28.729999999999997,28.050387803846153,18.09313408626453
BG,O3,-1.0,99.2,2.77,12.762857142857142,27.332221853127333
BG,PM10,-1.0,94.33,27.82,32.7590764516129,20.39412452156724
BG,PM2.5,-1.0,31.48,16.14,15.313999999999998,12.913263723784162
BG,SO2,-1.0,31.64,8.65,10.430000000000001,7.2216925202574815
BH,O3,-0.999,-0.999,-0.999,-0.999,
BH,PM2.5,-999.0,-999.0,-999.0,-999.0,
BK,PM2.5,4.6,8.0,6.3,6.3,1.7000000000000002
BM,O3,0.012,0.012,0.012,0.012,
BM,PM2.5,17.0,17.0,17.0,17.0,
BR,CO,0.0,1.2,0.3,0.38208333333333333,0.2767195907124358
BR,NO,2.75,32.41,7.699999999999999,12.639999999999999,13.461020268414522
BR,NO2,1.0,245.0,17.5,30.828518518518518,36.82877450752422
BR,NOX,22.37,71.83,60.56,53.83,23.31477786011839
BR,O3,0.0,222.0,63.0,63.7108064516129,37.06047911797321
BR,PM10,0.0,234.0,33.0,35.48275862068966,32.58927892771538
BR,PM2.5,0.0,28.0,15.665,15.233235294117646,7.867114799994488
BR,SO2,0.0,49.0,1.755,6.1235,11.759376672972172
BZ,PM2.5,13.0,13.0,13.0,13.0,
CA,CO,0.0,0.8,0.2,0.24837837837837837,0.1620616054590475
CA,NO,-0.0116999999999999,0.089,0.0004,0.0034973214285714295,0.01126871184450519
CA,NO2,-0.0009,0.044,0.004,0.00794431818181818,0.009828330571271084
CA,NOX,0.001,0.132,0.01,0.0230125,0.028738984013490447
CA,O3,0.0,0.059,0.027,0.02530483271375465,0.011168486401389864
CA,PM1,0.0,24.75,1.0747023820877075,3.7154849471844758,6.272971960637817
CA,PM10,0.0,55.0,5.0,9.211151016418162,11.835841024438874
CA,PM2.5,-3.9,47.0,5.5,8.051300247929031,7.957240415563547
CA,RELATIVEHUMIDITY,26.512202580769856,71.5816650390625,52.408050537109375,52.79848220394334,13.759302405213246
CA,SO2,-0.0013,0.0108,0.0002,0.0006405405405405405,0.0017825577220893928
CA,TEMPERATURE,-18.63016653060913,26.399999618530277,11.741443435351053,11.359736134056691,11.347472527231417
CA,UM003,38.5,4071.625,390.3333435058594,785.3366115034119,1175.6711737839676
CD,PM2.5,85.0,85.0,85.0,85.0,
CE,PM2.5,12.0,12.0,12.0,12.0,
CF,PM2.5,8.0,18.0,13.0,13.0,7.0710678118654755
